Date,Province,Region,Last Update,Confirmed,Deaths,Recovered
2/4/2020 22:00,,UK,2/1/2020 1:52,2,0,0
2/4/2020 22:00,"Chicago, IL",US,2/1/2020 19:43,2,0,0
2/4/2020 22:00,"San Benito, CA",US,2/3/2020 3:53,2,0,0
2/4/2020 22:00,"Santa Clara, CA",US,2/3/2020 0:43,2,0,0
2/4/2020 22:00,,Belgium,2/4/2020 15:43,1,0,0
2/4/2020 22:00,,Cambodia,1/31/2020 8:15,1,0,0
2/4/2020 22:00,British Columbia,Canada,2/1/2020 18:12,1,0,0
2/4/2020 22:00,"London, ON",Canada,2/4/2020 0:03,1,0,0
2/4/2020 22:00,,Finland,1/31/2020 8:15,1,0,0
2/4/2020 22:00,Tibet,Mainland China,2/1/2020 1:52,1,0,0
2/4/2020 22:00,,Nepal,1/31/2020 8:15,1,0,0
2/4/2020 22:00,,Spain,2/1/2020 23:43,1,0,0
2/4/2020 22:00,,Sri Lanka,1/31/2020 8:15,1,0,0
2/4/2020 22:00,,Sweden,2/1/2020 2:13,1,0,0
2/4/2020 22:00,"Boston, MA",US,2/1/2020 19:43,1,0,0
2/4/2020 22:00,"Los Angeles, CA",US,2/1/2020 19:53,1,0,0
2/4/2020 22:00,"Orange, CA",US,2/1/2020 19:53,1,0,0
2/4/2020 22:00,"Seattle, WA",US,2/1/2020 19:43,1,0,0
2/4/2020 22:00,"Tempe, AZ",US,2/1/2020 19:43,1,0,0
2/3/2020 21:40,Hubei,Mainland China,2/4/2020 1:23,13522,414,396
2/3/2020 21:40,Zhejiang,Mainland China,2/4/2020 1:43,829,0,48
2/3/2020 21:40,Guangdong,Mainland China,2/4/2020 1:43,797,0,21
2/3/2020 21:40,Henan,Mainland China,2/4/2020 1:23,675,2,20
2/3/2020 21:40,Hunan,Mainland China,2/4/2020 1:43,593,0,22
2/3/2020 21:40,Anhui,Mainland China,2/4/2020 0:43,480,0,14
2/3/2020 21:40,Jiangxi,Mainland China,2/4/2020 1:43,476,0,19
2/3/2020 21:40,Chongqing,Mainland China,2/3/2020 23:43,337,2,9
2/3/2020 21:40,Jiangsu,Mainland China,2/4/2020 1:03,308,0,8
2/3/2020 21:40,Sichuan,Mainland China,2/4/2020 1:43,282,1,14
2/3/2020 21:40,Shandong,Mainland China,2/4/2020 0:53,270,0,7
2/3/2020 21:40,Beijing,Mainland China,2/3/2020 9:23,212,1,12
2/3/2020 21:40,Shanghai,Mainland China,2/4/2020 0:13,208,1,10
2/3/2020 21:40,Fujian,Mainland China,2/3/2020 11:33,179,0,1
2/3/2020 21:40,Heilongjiang,Mainland China,2/4/2020 0:53,155,2,2
2/3/2020 21:40,Shaanxi,Mainland China,2/4/2020 2:33,142,0,1
2/3/2020 21:40,Guangxi,Mainland China,2/4/2020 0:33,139,0,7
2/3/2020 21:40,Hebei,Mainland China,2/4/2020 0:23,126,1,3
2/3/2020 21:40,Yunnan,Mainland China,2/3/2020 23:23,117,0,5
2/3/2020 21:40,Hainan,Mainland China,2/4/2020 0:43,79,1,4
2/3/2020 21:40,Liaoning,Mainland China,2/3/2020 17:11,74,0,1
2/3/2020 21:40,Shanxi,Mainland China,2/3/2020 23:13,74,0,2
2/3/2020 21:40,Tianjin,Mainland China,2/3/2020 13:53,60,0,1
2/3/2020 21:40,Guizhou,Mainland China,2/4/2020 1:03,56,0,2
2/3/2020 21:40,Gansu,Mainland China,2/3/2020 23:03,55,0,3
2/3/2020 21:40,Jilin,Mainland China,2/4/2020 0:23,42,0,1
2/3/2020 21:40,Inner Mongolia,Mainland China,2/3/2020 3:03,34,0,1
2/3/2020 21:40,Ningxia,Mainland China,2/4/2020 2:13,34,0,1
2/3/2020 21:40,Xinjiang,Mainland China,2/4/2020 1:33,29,0,0
2/3/2020 21:40,,Japan,2/1/2020 18:53,20,0,1
2/3/2020 21:40,,Thailand,1/31/2020 10:37,19,0,5
2/3/2020 21:40,,Singapore,2/2/2020 1:03,18,0,0
2/3/2020 21:40,Hong Kong,Hong Kong,2/2/2020 23:53,15,0,0
2/3/2020 21:40,Qinghai,Mainland China,2/4/2020 1:33,15,0,0
2/3/2020 21:40,,South Korea,2/2/2020 2:23,15,0,0
2/3/2020 21:40,,Germany,2/3/2020 20:53,12,0,0
2/3/2020 21:40,Taiwan,Taiwan,1/31/2020 15:20,10,0,0
2/3/2020 21:40,Macau,Macau,2/2/2020 4:23,8,0,0
2/3/2020 21:40,,Malaysia,1/31/2020 8:15,8,0,0
2/3/2020 21:40,,Vietnam,2/3/2020 21:43,8,0,1
2/3/2020 21:40,,France,2/1/2020 1:52,6,0,0
2/3/2020 21:40,,United Arab Emirates,2/2/2020 5:43,5,0,0
2/3/2020 21:40,New South Wales,Australia,2/1/2020 18:12,4,0,2
2/3/2020 21:40,Victoria,Australia,2/1/2020 18:12,4,0,0
2/3/2020 21:40,,India,2/3/2020 21:43,3,0,0
2/3/2020 21:40,Queensland,Australia,2/2/2020 22:33,2,0,0
2/3/2020 21:40,South Australia,Australia,2/2/2020 22:33,2,0,0
